Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Weed, Ethan; McGregor, William; Feldbæk Nielsen, Jørgen; Roepstorff, Andreas; Frith, Uta; ",Theory of Mind in adults with right hemisphere damage: What's the story?,Brain and language,113,2,65-72,2010,Elsevier
"Wallentin, Mikkel; Weed, Ethan; Østergaard, Leif; Mouridsen, Kim; Roepstorff, Andreas; ",Accessing the mental space—spatial working memory processes for language and vision overlap in precuneus,Human Brain Mapping,29,5,524-532,2008,"Wiley Subscription Services, Inc., A Wiley Company Hoboken"
"Tylén, Kristian; Weed, Ethan; Wallentin, Mikkel; Roepstorff, Andreas; Frith, Chris D; ",Language as a tool for interacting minds,Mind & Language,25,1,3-29,2010,"Blackwell Publishing Ltd Oxford, UK"
"Tylén, Kristian; Phillipsen, Johanne Stege; Weed, Ethan; ",Taking the language stance in a material world: a comprehension study,Pragmatics &# 38; Cognition,17,3,573-595,2009,John Benjamins Publishing Company
"Weed, Ethan; ",Theory of mind impairment in right hemisphere damage: A review of the evidence,International Journal of Speech-Language Pathology,10,6,414-424,2008,Taylor & Francis
"Weed, Ethan; ",Looking for Beauty in the Brain,Estetika: The European Journal of Aesthetics,45,1,5-23,2008,Helsinki University Press
"Weed, Ethan; McGregor, William; Feldbaek, Jorgen; Roepstroff, Andreas; ",Moving pictures: using descriptions of animations to assess theory of mind in people with right-hemisphere damage,La lingüística ante el reto de la aplicación clínica: actas del II Congreso Internacional de Lingüística Clínica,,,247-249,2009,UNED-Universidad Nacional de Educación a Distancia
"Weed, Ethan; ",What's left to learn about right hemisphere damage and pragmatic impairment?,Aphasiology,25,8,872-889,2011,Taylor & Francis
"Weed, Ethan; ",A Labyrinth OF SYMBOLS EXPLORING ‘THE GARDEN OF FORKING PATHS’,Variaciones Borges,18,,161-189,2004,
"Fusaroli, Riccardo; Weed, Ethan; Simonsen, Arndis; Bliksted, Vibeke Fuglsang; ",Non-linear dynamics of speech and voice in schizophrenia,Neurobiology of Language,,,,2013,
"Weed, Ethan; Fusaroli, Riccardo; ",Prosodic production in right-hemisphere stroke patients: using temporal dynamics to characterize voice quality,Neurobiology of Language,,,,2013,
