data_id;language;form;age;gender;mom_ed;comprehension;production
29821;Croatian;WG;13;Female;NA;293;88
29822;Croatian;WG;16;Male;NA;122;12
29823;Croatian;WG;9;Female;NA;3;0
29824;Croatian;WG;12;Female;NA;0;0
29825;Croatian;WG;12;Female;NA;44;0
29826;Croatian;WG;8;Male;NA;14;5
29827;Croatian;WG;9;Male;NA;2;1
29828;Croatian;WG;10;Male;NA;44;1
29829;Croatian;WG;13;Male;NA;172;51
29830;Croatian;WG;16;Male;NA;241;68
29831;Croatian;WG;16;Male;NA;103;14
29832;Croatian;WG;16;Female;NA;76;10
29833;Croatian;WG;13;Male;NA;63;1
29834;Croatian;WG;13;Male;NA;36;7
29835;Croatian;WG;12;Female;NA;145;3
29836;Croatian;WG;13;Female;NA;101;3
29837;Croatian;WG;16;Female;NA;325;130
29838;Croatian;WG;14;Female;NA;164;38
29839;Croatian;WG;15;Female;NA;283;4
29840;Croatian;WG;14;Male;NA;201;1
29841;Croatian;WG;11;Male;NA;17;0
29842;Croatian;WG;10;Female;NA;108;0
29843;Croatian;WG;9;Female;NA;39;6
29844;Croatian;WG;16;Female;NA;393;322
29845;Croatian;WG;11;Female;NA;24;5
29846;Croatian;WG;11;Female;NA;37;0
29847;Croatian;WG;9;Female;NA;21;0
29848;Croatian;WG;16;Female;NA;343;26
29849;Croatian;WG;12;Female;NA;195;15
29850;Croatian;WG;10;Male;NA;5;0
29851;Croatian;WG;13;Male;NA;45;0
29852;Croatian;WG;8;Male;NA;10;5
29853;Croatian;WG;12;Male;NA;40;0
29854;Croatian;WG;11;Male;NA;2;2
29855;Croatian;WG;16;Male;NA;395;118
29856;Croatian;WG;15;Male;NA;252;10
29857;Croatian;WG;14;Male;NA;256;9
29858;Croatian;WG;14;Male;NA;232;6
29859;Croatian;WG;12;Male;NA;94;4
29860;Croatian;WG;15;Female;NA;260;27
29861;Croatian;WG;13;Female;NA;38;16
29862;Croatian;WG;12;Female;NA;159;8
29863;Croatian;WG;8;Female;NA;0;0
29864;Croatian;WG;9;Male;NA;10;0
29865;Croatian;WG;14;Female;NA;177;11
29866;Croatian;WG;11;Female;NA;23;5
29867;Croatian;WG;11;Female;NA;151;8
29868;Croatian;WG;10;Female;NA;10;2
29869;Croatian;WG;9;Female;NA;85;0
29870;Croatian;WG;8;Female;NA;4;0
29871;Croatian;WG;15;Male;NA;121;7
29872;Croatian;WG;13;Male;NA;144;0
29873;Croatian;WG;13;Male;NA;395;17
29874;Croatian;WG;12;Male;NA;99;28
29875;Croatian;WG;8;Male;NA;15;0
29876;Croatian;WG;9;Female;NA;5;0
29877;Croatian;WG;10;Female;NA;97;4
29878;Croatian;WG;11;Female;NA;176;6
29879;Croatian;WG;11;Female;NA;73;17
29880;Croatian;WG;12;Female;NA;131;13
29881;Croatian;WG;12;Female;NA;104;13
29882;Croatian;WG;13;Female;NA;232;19
29883;Croatian;WG;13;Female;NA;144;12
29884;Croatian;WG;15;Female;NA;164;3
29885;Croatian;WG;16;Female;NA;234;30
29886;Croatian;WG;8;Male;NA;8;2
29887;Croatian;WG;9;Male;NA;15;4
29888;Croatian;WG;9;Male;NA;8;0
29889;Croatian;WG;12;Male;NA;99;10
29890;Croatian;WG;12;Male;NA;69;7
29891;Croatian;WG;14;Male;NA;66;3
29892;Croatian;WG;14;Male;NA;157;17
29893;Croatian;WG;15;Male;NA;256;49
29894;Croatian;WG;15;Male;NA;379;17
29895;Croatian;WG;16;Male;NA;301;79
29896;Croatian;WG;16;Male;NA;234;28
29897;Croatian;WG;13;Female;NA;46;32
29898;Croatian;WG;14;Female;NA;151;10
29899;Croatian;WG;8;Female;NA;60;5
29900;Croatian;WG;15;Male;NA;130;18
29901;Croatian;WG;16;Male;NA;135;36
29902;Croatian;WG;13;Male;NA;20;3
29903;Croatian;WG;9;Male;NA;7;3
