Apathy,Writing stress,Other stress,Overall Stress,Integrity,Cohort ,Course
4,4,3,3.8,4,2023,GT
4,3,3,3.6,4,2022,GT
4.4,4,4,3.8,3.8,2023,GT
3.8,3,4,3.4,4,2023,GT
4.2,3,2,3.4,4,2023,GT
3.8,4,3,3,4.2,2023,GT
4.2,3,4,3.6,4,2022,GT
3.2,4,3,3.8,4.2,2022,GT
2.6,5,5,4.2,3.8,2023,GT
4.4,4,4,4.2,2.2,2022,GT
4,2,4,3.6,3.4,2022,GT
5,5,4,4.4,2.6,2022,GT
4.4,2,2,2,3.4,2023,GT
2.6,3,1,2.2,4,2023,GT
4,4,3,3.6,3,2023,GT
4.2,4,3,3.6,4.2,2022,GT
4.4,4,4,3.4,3.4,2023,GT
2.8,2,2,2,4,2022,GT
4.4,4,4,3.6,3.6,2023,GT
2.4,4,3,3.2,4,2022,GT
4.4,4,3,2.6,2.6,2023,GT
3,3,2,3,4,2023,GT
3.8,3,3,2.6,3.8,2023,GT
5,4,3,3.4,3.6,2023,GT
4,4,5,4.2,4.6,2022,GT
3.6,1,4,3.4,4,2023,GT
3.8,4,3,3.2,3.8,2023,GT
3.8,4,2,2.6,4.2,2023,GT
4.8,3,3,3.2,4.2,2023,GT
4,3,3,3.4,3.8,2023,GT
3.6,4,3,3.8,4.6,2022,GT
1.8,4,2,2.8,4.2,2022,GT
4.6,5,4,4.4,4.4,2022,GT
4,5,3,4,4,2022,GT
4,3,4,3.4,4.2,2022,LiC
2.8,2,3,2.2,3.6,2022,LiC
2.2,3,1,2.2,4,2023,LiC
2,3,2,3,4.4,2023,LiC
2.8,3,3,3.2,3.6,2023,LiC
3.8,3,4,3.6,3.8,2022,LiC
2,2,1,1.8,4,2023,LiC
2.4,2,5,3.4,4.2,2023,LiC
2.6,1,2,1.2,3.4,2023,LiC
2.2,2,2,2.2,4.2,2023,LiC
2.4,1,3,1.6,3.4,2023,LiC
3,2,2,2.2,3.8,2022,LiC
4.4,4,2,3,3.8,2022,LiC
2.4,1,4,2,3.6,2023,LiC
2.4,2,2,2,4,2023,LiC
3.6,4,4,4,3.4,2022,LiC
3.2,3,2,3.6,4.2,2022,LiC
2.8,2,4,2.4,3.6,2023,LiC
3.6,4,4,4.2,3.2,2022,LiC
2.8,1,3,2,3.8,2023,LiC
2,2,3,2,4.4,2023,LiC
2.6,1,4,2.8,4.2,2023,LiC
3,4,3,3.2,4,2023,LiC
2.4,3,3,3,4.2,2023,LiC
2.6,3,3,2.6,3.8,2022,LiC
3.4,4,4,4.2,3.4,2022,LiC
3.2,2,3,2.8,4,2022,LiC
1.8,3,1,2.2,4.4,2023,LiC
2.6,3,4,3,4,2023,LiC
3,2,2,2.2,3.8,2023,LiC
3,3,3,3.2,4.2,2023,LiC
2.4,4,2,3,3.6,2022,LiC
2.4,4,4,3.4,3.8,2022,LiC
